,phase,sim_time,real_time,sim_en,real_en
164,"[(3401000.0, 3.0), (1700000.0, 1.0)]",4.180092811584473,2.287,28.161188151395322,32.895729
165,"[(3401000.0, 3.0), (1700000.0, 2.0)]",3.0264248847961426,1.8929999999999998,26.749852819716928,31.550395
166,"[(3401000.0, 3.0), (1700000.0, 3.0)]",3.8852732181549072,2.3179999999999996,27.20476529585838,24.700498
167,"[(3401000.0, 3.0), (1700000.0, 4.0)]",3.23713755607605,2.795,24.225619653785223,25.964838
168,"[(3401000.0, 3.0), (1500000.0, 1.0)]",4.152222156524658,2.305,28.202342056226726,30.781781
169,"[(3401000.0, 3.0), (1500000.0, 2.0)]",2.856516122817993,1.8210000000000002,26.70191075108051,29.445970000000003
170,"[(3401000.0, 3.0), (1500000.0, 3.0)]",3.992957830429077,3.294,24.284169507279394,27.100212
171,"[(3401000.0, 3.0), (1500000.0, 4.0)]",3.110499143600464,2.931,23.855114225623606,25.948358
172,"[(3401000.0, 3.0), (1300000.0, 1.0)]",4.313394784927368,2.231,28.643108765468597,32.597145
173,"[(3401000.0, 3.0), (1300000.0, 2.0)]",2.891885280609131,1.8890000000000002,26.947876941435332,32.663185
174,"[(3401000.0, 3.0), (1300000.0, 3.0)]",3.9249725341796875,2.9379999999999997,24.86820209593773,26.056024999999998
175,"[(3401000.0, 3.0), (1300000.0, 4.0)]",3.161849021911621,3.13,22.911030142421723,26.745355
176,"[(3401000.0, 3.0), (1100000.0, 1.0)]",4.208710432052612,2.274,28.19662537234783,32.705177
177,"[(3401000.0, 3.0), (1100000.0, 2.0)]",3.0194573402404785,1.912,26.883617731959816,33.868383
178,"[(3401000.0, 3.0), (1100000.0, 3.0)]",3.9755165576934814,2.7350000000000003,25.959924525730607,25.312253
179,"[(3401000.0, 3.0), (1100000.0, 4.0)]",3.137746572494507,3.1950000000000003,23.497956048514844,25.17291
180,"[(3401000.0, 3.0), (800000.0, 1.0)]",4.405609130859375,2.346,28.686449092469214,33.288001
